Secuencia,Mano,Punto,X,Y,Z
1,Derecha,0,0.2351614534854889,0.9231547713279724,4.548504151102861e-08
1,Derecha,1,0.2152186930179596,0.8578314781188965,0.00606949720531702
1,Derecha,2,0.2161499261856079,0.7924743890762329,0.0020367498509585857
1,Derecha,3,0.22306469082832336,0.7423148155212402,-0.0034607478883117437
1,Derecha,4,0.22507798671722412,0.7036786675453186,-0.008977427147328854
1,Derecha,5,0.23521925508975983,0.7534828186035156,-0.015612666495144367
1,Derecha,6,0.2706068158149719,0.6916683316230774,-0.028757145628333092
1,Derecha,7,0.29457715153694153,0.6655497550964355,-0.035453926771879196
1,Derecha,8,0.31058749556541443,0.6482794284820557,-0.038802847266197205
1,Derecha,9,0.26401713490486145,0.7812560200691223,-0.026966139674186707
1,Derecha,10,0.30250176787376404,0.7200019359588623,-0.035474762320518494
1,Derecha,11,0.32887232303619385,0.6842300295829773,-0.038499921560287476
1,Derecha,12,0.35031992197036743,0.6547167301177979,-0.041662950068712234
1,Derecha,13,0.28961852192878723,0.822945237159729,-0.03749525174498558
1,Derecha,14,0.3253784477710724,0.7715588212013245,-0.0480271615087986
1,Derecha,15,0.3490792214870453,0.7367750406265259,-0.049484726041555405
1,Derecha,16,0.36725956201553345,0.7040590047836304,-0.05109141767024994
1,Derecha,17,0.3139316141605377,0.874545156955719,-0.04655339568853378
1,Derecha,18,0.3433522582054138,0.8486230373382568,-0.05462139844894409
1,Derecha,19,0.3594134449958801,0.8265661597251892,-0.05217870697379112
1,Derecha,20,0.3696596026420593,0.8027547597885132,-0.04992644861340523
1,Derecha,0,0.252508282661438,0.9240846633911133,1.1214217465749243e-07
1,Derecha,1,0.22514471411705017,0.8553811311721802,0.00874103233218193
1,Derecha,2,0.22578206658363342,0.7772065997123718,0.006607284303754568
1,Derecha,3,0.2351754903793335,0.7174612879753113,0.0035614981316030025
1,Derecha,4,0.22508230805397034,0.6800940036773682,-0.0005058652022853494
1,Derecha,5,0.25111672282218933,0.7400379180908203,-0.027767695486545563
1,Derecha,6,0.2899629771709442,0.6444801688194275,-0.0435589961707592
1,Derecha,7,0.31453898549079895,0.6018103361129761,-0.048026662319898605
1,Derecha,8,0.33294743299484253,0.5717000961303711,-0.0488256961107254
1,Derecha,9,0.2820351719856262,0.7622190713882446,-0.040653422474861145
1,Derecha,10,0.32457566261291504,0.6543604731559753,-0.054501261562108994
1,Derecha,11,0.3497234284877777,0.5986495614051819,-0.056062836199998856
1,Derecha,12,0.3698939085006714,0.5605238676071167,-0.05618127062916756
1,Derecha,13,0.3133610486984253,0.7954099178314209,-0.05133002623915672
1,Derecha,14,0.35231199860572815,0.6953707933425903,-0.06373264640569687
1,Derecha,15,0.37417882680892944,0.6410771012306213,-0.06593731045722961
1,Derecha,16,0.3917895257472992,0.5999714136123657,-0.06662578880786896
1,Derecha,17,0.3440583348274231,0.8360399007797241,-0.06017089635133743
1,Derecha,18,0.37459224462509155,0.7659863233566284,-0.0703180655837059
1,Derecha,19,0.3904571533203125,0.7222814559936523,-0.07090908288955688
1,Derecha,20,0.4045063257217407,0.6847203373908997,-0.07003149390220642
1,Derecha,0,0.2579064667224884,0.9512810707092285,3.051053454328212e-07
1,Derecha,1,0.22574183344841003,0.8776761889457703,0.004112099297344685
1,Derecha,2,0.22460900247097015,0.7956874370574951,0.002642880892381072
1,Derecha,3,0.2323736548423767,0.7338589429855347,0.0007314409012906253
1,Derecha,4,0.2215740978717804,0.695479154586792,-0.002167902886867523
1,Derecha,5,0.2568577229976654,0.7592440247535706,-0.01938757300376892
1,Derecha,6,0.29451867938041687,0.671016275882721,-0.033258840441703796
1,Derecha,7,0.31991294026374817,0.6206177473068237,-0.038673628121614456
1,Derecha,8,0.3401664197444916,0.5857834815979004,-0.0401817262172699
